"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Создание проекта без названия: проверка ошибки","0","checkCreateProjectWithNegative","Surefire suite","Mon Oct 06 10:17:16 UTC 2025","skipped","Mon Oct 06 10:17:16 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"","0","Browser teardown","Surefire suite","Mon Oct 06 10:17:16 UTC 2025","broken","Mon Oct 06 10:17:16 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","tearDown"
"","1","addCaseToProject","Surefire suite","Mon Oct 06 10:17:16 UTC 2025","skipped","Mon Oct 06 10:17:16 UTC 2025","tests.api.CaseTest","Surefire test","tests.api.CaseTest","addCaseToProject"
"","0","checkCreateProjectFailsWithoutTitle","Surefire suite","Mon Oct 06 10:17:16 UTC 2025","skipped","Mon Oct 06 10:17:16 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateProjectFailsWithoutTitle"
"","0","cheсkFieldCreateFormNewProject","Surefire suite","Mon Oct 06 10:17:16 UTC 2025","skipped","Mon Oct 06 10:17:16 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","cheсkFieldCreateFormNewProject"
"","3","globalSetup","Surefire suite","Mon Oct 06 10:17:16 UTC 2025","broken","Mon Oct 06 10:17:16 UTC 2025","tests.ui.BaseTest","Surefire test","tests.ui.BaseTest","globalSetup"
"","0","Browser teardown","Surefire suite","Mon Oct 06 10:17:16 UTC 2025","broken","Mon Oct 06 10:17:16 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","tearDown"
"","0","checkCreateAndDeleteProject","Surefire suite","Mon Oct 06 10:17:16 UTC 2025","skipped","Mon Oct 06 10:17:16 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateAndDeleteProject"
"Создание тест-кейса","0","checkCreateCase","Surefire suite","Mon Oct 06 10:17:16 UTC 2025","skipped","Mon Oct 06 10:17:16 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Создание проекта и его удаление","0","checkCreateProject","Surefire suite","Mon Oct 06 10:17:16 UTC 2025","skipped","Mon Oct 06 10:17:16 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
